"","degree","in_degree","out_degree","btwn","close","vector"
"g middendorf",4,4,4,0,1.72896711504547e-05,0
"hyun uk kim",4,4,4,0,1.72896711504547e-05,0
"william trieu",4,4,4,0,2.12621194080626e-05,0.221695444190098
"wolfgang kerbe",4,4,4,0,1.75827267292612e-05,0
"jef boeke",4,4,4,0,2.12571477159195e-05,0.00577221708356514
"thomas a luger",4,4,4,0,1.72896711504547e-05,0
"lei pei",4,4,4,0,1.77326973205894e-05,0
"m castro sitiriche",4,4,4,0,1.72896711504547e-05,0
"bernhard  palsson",4,4,4,0,1.72896711504547e-05,0
"daniel mcgee",4,4,4,0,1.74349675709603e-05,0
"ewald strasser",4,4,4,0,1.75827267292612e-05,0
"stephan grabbe",4,4,4,0,1.72896711504547e-05,0
"wei wei",4,4,4,0,1.77326973205894e-05,0
"g kadoda",4,4,4,0,1.72896711504547e-05,0
"sang yup lee",4,4,4,0,1.72896711504547e-05,0
"ethics of genomics group",4,4,4,0,1.74349675709603e-05,0
"wolfgang wagner",4,4,4,0,1.75827267292612e-05,0
"matthias gunzer",4,4,4,0,1.72896711504547e-05,0
"and ke ping ma",4,4,4,0,1.77326973205894e-05,0
"douglas j piteraa",3,3,3,0,2.1261215291066e-05,0.0704246262072206
"david magnus",3,3,3,0,2.1261215291066e-05,0.0704246262072206
"effendi leonard",3,3,3,0,2.12147569849587e-05,6.51206220488518e-05
"diana m bowman",3,3,3,0,2.12147569849587e-05,6.51206220488462e-05
"james j collins",3,3,3,2,1.72176308539945e-05,0
"jennifer r anthony",3,3,3,0,2.1261215291066e-05,0.0704246262072207
"m bujara",3,3,3,0,1.72176308539945e-05,0
"nediljko budisa",3,3,3,0,1.72176308539945e-05,0
"mark a bedau",3,3,3,0,1.72176308539945e-05,0
"paul martin",3,3,3,0,1.72176308539945e-05,0
"marnix h medema",3,3,3,0,1.72176308539945e-05,0
"petra neumann staubitz",3,3,3,0,1.72176308539945e-05,0
"pablo ravasi",3,3,3,0,1.75824175824176e-05,0
"maureen a o malley",3,3,3,0,1.72893722228946e-05,0
"alexander powell",3,3,3,0,1.72893722228946e-05,0
"frida kuhlau",3,3,3,0,1.72176308539945e-05,0
"stefan eriksson",3,3,3,0,1.72176308539945e-05,0
"ponnusamy kumar",3,3,3,0,1.72176308539945e-05,0
"rajendiran sutha",3,3,3,0,1.72176308539945e-05,0
"m korenova",3,3,3,0,1.72176308539945e-05,0
"j stano",3,3,3,0,1.72176308539945e-05,0
"jack d newman",3,3,3,0,2.1261215291066e-05,0.0704246262072206
"kevin solomon",3,3,3,0,2.12147569849587e-05,6.51206220488385e-05
"anthony stavrianakis",3,3,3,0,2.12585034013605e-05,0.00648750042259641
"farnaz nowroozi",3,3,3,0,2.1261215291066e-05,0.0704246262072207
"f greve",3,3,3,0,1.72176308539945e-05,0
"uwe tangen",3,3,3,0,1.72176308539945e-05,0
"roel bovenberg",3,3,3,0,1.72176308539945e-05,0
"hugo gramajo",3,3,3,0,1.75824175824176e-05,0
"jonathan f davies",3,3,3,0,1.72893722228946e-05,0
"kathinka evers",3,3,3,0,1.72176308539945e-05,0
"annamalai murugesan",3,3,3,0,1.72176308539945e-05,0
"k micieta",3,3,3,0,1.72176308539945e-05,0
"gina kwon a",3,3,3,0,2.1261215291066e-05,0.0704246262072206
"s panke",3,3,3,0,1.72176308539945e-05,0
"brigitte hantsche tangen",3,3,3,0,1.72176308539945e-05,0
"eriko takano",3,3,3,0,1.72176308539945e-05,0
"hugo g menzella",3,3,3,0,1.75824175824176e-05,0
"anna t ho glund",3,3,3,0,1.72176308539945e-05,0
"anandan dayanandan",3,3,3,0,1.72176308539945e-05,0
"and v blanarikova",3,3,3,0,1.72176308539945e-05,0
"adam arkin",2,2,2,0,1.71461884023182e-05,0
"pamela a silver",2,2,2,0,1.71461884023182e-05,0
"barry canton",2,2,2,0,2.1238637329029e-05,0.000388682311494601
"antoine danchin",2,2,2,0,2.1238637329029e-05,0.000388682311494606
"eric g gladstone",2,2,2,0,2.1238637329029e-05,0.000388682311494598
"farren j isaacs",2,2,2,0,1.72173344122863e-05,0
"emily c parke",2,2,2,0,1.72173344122863e-05,0
"graeme a hodge",2,2,2,0,1.71461884023182e-05,0
"erin d williams",2,2,2,0,1.71461884023182e-05,0
"james m carothers",2,2,2,0,2.12670934263414e-05,0.0660611164842275
"joy sinha",2,2,2,0,1.71461884023182e-05,0
"larry c anthony",2,2,2,0,1.71461884023182e-05,0
"lorna weir",2,2,2,180,2.12544368636953e-05,0.0147841513824942
"leon y chan",2,2,2,0,2.1238637329029e-05,0.000388682311494598
"markus huppenbauer",2,2,2,0,2.1238637329029e-05,0.000388682311494601
"martin fussenegger",2,2,2,1,1.71461884023182e-05,0
"paul oldham",2,2,2,0,1.71461884023182e-05,0
"salvador peiru",2,2,2,0,1.71461884023182e-05,0
"ryan mcdaniel",2,2,2,1,1.71461884023182e-05,0
"shota atsumi",2,2,2,0,1.71461884023182e-05,0
"wendell a lim",2,2,2,0,1.71461884023182e-05,0
"george chruch",2,2,2,0,1.71461884023182e-05,0
"james j bull",2,2,2,0,2.1238637329029e-05,0.000388682311494599
"andrew d maynard",2,2,2,0,1.71461884023182e-05,0
"justin p gallivan",2,2,2,0,1.71461884023182e-05,0
"geoff burton",2,2,2,0,1.71461884023182e-05,0
"james c liao",2,2,2,0,1.71461884023182e-05,0
"ahmad s khalil",1,1,1,0,1.70753363841268e-05,0
"agomoni ganguli mitra",1,1,1,0,1.70753363841268e-05,0
"ali nouri",1,1,1,0,1.70753363841268e-05,0
"alan irwin",1,1,1,0,1.70753363841268e-05,0
"amelie cserer",1,1,1,0,1.70753363841268e-05,0
"alexander van oudenaarden",1,1,1,0,1.70753363841268e-05,0
"alexandra seiringer",1,1,1,0,1.77308108299793e-05,0
"brian j yeh",1,1,1,0,1.74337517433752e-05,0
"christina d smolke",1,1,1,0,1.70753363841268e-05,0
"christopher f chyba",1,1,1,0,1.70753363841268e-05,0
"dominique aubel",1,1,1,0,1.70753363841268e-05,0
"david berry",1,1,1,0,1.70753363841268e-05,0
"heinz neumann",1,1,1,0,1.70753363841268e-05,0
"gautam mukunda",1,1,1,0,1.70753363841268e-05,0
"howard chou",1,1,1,0,1.72887743987829e-05,0
"ian j molineux",1,1,1,0,2.12603112509567e-05,0.0617300016265753
"jeff gore",1,1,1,0,1.72170379807858e-05,0
"joachim henkel",1,1,1,0,1.70753363841268e-05,0
"john i glass",1,1,1,0,1.70753363841268e-05,0
"jonathan b tucker",1,1,1,0,1.70753363841268e-05,0
"jonathan a goler",1,1,1,0,1.70753363841268e-05,0
"linda j kahl",1,1,1,0,1.71458944155822e-05,0
"lisa klasson",1,1,1,0,1.71458944155822e-05,0
"luis moroder",1,1,1,0,1.70753363841268e-05,0
"morgan meyer",1,1,1,0,1.70753363841268e-05,0
"maja horst",1,1,1,0,1.70753363841268e-05,0
"nikolas rose",1,1,1,0,1.70753363841268e-05,0
"marcel tigges",1,1,1,0,1.70753363841268e-05,0
"nils gilman",1,1,1,0,1.70753363841268e-05,0
"pier luigi luisi",1,1,1,0,2.12508234694094e-05,0.0147270705526553
"rainer breitling",1,1,1,0,2.12458570578737e-05,0.0502003659782927
"nigel m de s cameron",1,1,1,0,1.75817993213425e-05,0
"pasquale stano",1,1,1,0,1.70753363841268e-05,0
"s billerbeck",1,1,1,0,1.70753363841268e-05,0
"sam snell",1,1,1,0,2.12417953565435e-05,0.000720094304181711
"samuel j reyes",1,1,1,0,2.12417953565435e-05,0.000720094304181707
"petra schwille",1,1,1,0,1.70753363841268e-05,0
"scott cookson",1,1,1,0,1.70753363841268e-05,0
"priscilla e m purnick",1,1,1,0,1.70753363841268e-05,0
"siv g e andersson",1,1,1,0,1.70753363841268e-05,0
"rachel wellhausen",1,1,1,0,1.70753363841268e-05,0
"sriram kosuri",1,1,1,0,1.70753363841268e-05,0
"ruth mampuys",1,1,1,0,1.70753363841268e-05,0
"stefan diez",1,1,1,0,1.70753363841268e-05,0
"stephen hall",1,1,1,0,1.71458944155822e-05,0
"stephen m maurer",1,1,1,0,1.71458944155822e-05,0
"seumas miller",1,1,1,0,1.70753363841268e-05,0
"tae yong kim",1,1,1,0,1.70753363841268e-05,0
"stephen d unwina",1,1,1,0,1.70753363841268e-05,0
"church george",1,1,1,0,1.70753363841268e-05,0
"susan molyneux hodgson",1,1,1,0,1.70753363841268e-05,0
"frans w a brom",1,1,1,0,1.70753363841268e-05,0
"svitlana v pustovit",1,1,1,0,2.12305209969853e-05,0.00220793130105174
"vi ctor de lorenzo",1,1,1,0,1.70753363841268e-05,0
"j tharakan",1,1,1,0,1.70753363841268e-05,0
"lalit kant",1,1,1,0,1.70753363841268e-05,0
"d t mourya",1,1,1,0,1.70753363841268e-05,0
"sibylle gaisser",1,1,1,0,1.70753363841268e-05,0
"thomas reiss",1,1,1,0,1.70753363841268e-05,0
"thomas douglas",1,1,1,0,1.70753363841268e-05,0
"julian savulescu",1,1,1,0,1.70753363841268e-05,0
"david a relman",1,1,1,0,1.74337517433752e-05,0
"robin fears",1,1,1,0,1.70753363841268e-05,0
"volker ter meulen",1,1,1,0,1.70753363841268e-05,0
"arti rai",1,1,1,0,1.70753363841268e-05,0
"james boyle",1,1,1,0,1.70753363841268e-05,0
