"","a","b"
"106","marnix h medema","roel bovenberg"
"107","michelle c y chang","william trieu"
"108","mildred k cho","arthur caplan"
"109","nicole kronberger","wolfgang kerbe"
"110","pablo ravasi","hugo gramajo"
"111","paul oldham","geoff burton"
"112","shlomiya bar yam","rocco casagrande"
"113","shota atsumi","james c liao"
"114","yoichiro shiba","james kirbya"
"115","maureen a o malley","jonathan f davies"
"116","gabrielle n samuel","ian kerridge"
"117","gabrielle n samuel","ian kerridge"
"118","frida kuhlau","kathinka evers"
"119","filippa lentzos","jef boeke"
"120","baker david","endy drew"
"121","brianna pearson","scott tonid"
"122","c verharen","m castro sitiriche"
"123","christian l barrett","bernhard  palsson"
"124","dae kyun robb","karl j fisher"
"125","daniel g gibson","vladimir n noskov"
"126","douglas j piteraa","jay d keasling"
"127","e ferguson","a spence"
"128","effendi leonard","kristala jones prather"
"129","gaymon bennett","paul rabinow"
"130","jennifer r anthony","gina kwon a"
"131","jesse stricker","william h mather"
"132","m bujara","s panke"
"133","mark a bedau","brigitte hantsche tangen"
"134","markus schmidt","alexander kelle"
"135","marnix h medema","eriko takano"
"136","michelle c y chang","dae kyun robb"
"137","mildred k cho","daniel mcgee"
"138","nicole kronberger","ewald strasser"
"139","pablo ravasi","hugo g menzella"
"140","shlomiya bar yam","florentine eichler"
"141","yoichiro shiba","dae kyun robb"
"142","maureen a o malley","jane calvert"
"143","frida kuhlau","anna t ho glund"
"144","filippa lentzos","drew endy"
"145","baker david","jacobson joseph"
"146","brianna pearson","laurie j heyer"
"147","c verharen","g kadoda"
"148","christian l barrett","sang yup lee"
"149","dae kyun robb","karyn l newman"
"150","daniel g gibson","ray yuan chuang"
"151","e ferguson","j a van hilten"
"152","jesse stricker","lev s tsimring"
"153","markus schmidt","anna deplazes"
"154","michelle c y chang","jay d keasling"
"155","mildred k cho","ethics of genomics group"
"156","nicole kronberger","wolfgang wagner"
"157","shlomiya bar yam","allen lin"
"158","yoichiro shiba","jay d keasling"
"159","filippa lentzos","paul rabinow"
"160","baker david","keasling jay"
"161","brianna pearson","malcolm campbell"
"162","dae kyun robb","john m ndungu"
"163","daniel g gibson","mikkel a algire"
"164","e ferguson","k lowe"
"165","jesse stricker","jeff hasty"
"166","markus schmidt","nikola biller andorno"
"167","shlomiya bar yam","martin oesterreicher"
"168","baker david","modrich paul"
"169","dae kyun robb","kimberly a ho"
"170","daniel g gibson","gwynedd a benders"
"171","baker david","smolke christina"
"172","dae kyun robb","rachel a eachus"
"173","daniel g gibson","michael g montague"
"174","baker david","weiss ron"
"175","dae kyun robb","timothy s ham"
"176","daniel g gibson","li ma"
"177","dae kyun robb","james kirbya"
"178","daniel g gibson","monzia m moodie"
"179","dae kyun robb","michelle c y chang"
"180","daniel g gibson","chuck merryman"
"181","dae kyun robb","sydnor t withers"
"182","daniel g gibson","sanjay vashee"
"183","dae kyun robb","yoichiro shiba"
"184","daniel g gibson","radha krishnakumar"
"185","dae kyun robb","richmond sarpong"
"186","daniel g gibson","nacyra assad garcia"
"187","dae kyun robb","jay d keasling"
"188","pamela a silver","george chruch"
"189","anna labno","collins jim"
"190","antoine danchin","drew endy"
"191","barbara a fechta","kyri bye nagel"
"192","c prowse","g middendorf"
"193","chris j paddonb","hyun uk kim"
"194","collin h martin","mario ouellet"
"195","daniel j dwyer","carole lartigue"
"196","david magnus","jack d newman"
"197","david nielsen","e townsend"
"198","diana m bowman","kevin solomon"
"199","drew endy","james j bull"
"200","emily c parke","james j collins"
"201","eric m paradisea","michael j selgelid"
"202","eric m paradisea","anthony stavrianakis"
"203","erin d williams","andrew d maynard"
"204","gaymon bennett","jay d keasling"
"205","jay d keasling","farnaz nowroozi"
"206","jennifer byers corbin","matthew r bennett"
"207","larry c anthony","justin p gallivan"
"208","markus huppenbauer","drew endy"
"209","nediljko budisa","f greve"
"210","paul martin","uwe tangen"
"211","peter holtz","helge torgersen"
"212","petra neumann staubitz","roel bovenberg"
"213","rachel a eachus","william trieu"
"214","raymond a zilinskas","arthur caplan"
"215","ron weiss","wolfgang kerbe"
"216","ron weiss","hugo gramajo"
"217","salvador peiru","geoff burton"
"218","taizo hanai","rocco casagrande"
"219","wendell a lim","james c liao"
"220","michael j selgelid","james kirbya"
"221","alexander powell","jonathan f davies"
"222","michael j selgelid","ian kerridge"
"223","michael j selgelid","ian kerridge"
"224","stefan eriksson","kathinka evers"
"225","gaymon bennett","jef boeke"
"226","anna labno","endy drew"
"227","barbara a fechta","scott tonid"
"228","c prowse","m castro sitiriche"
"229","chris j paddonb","bernhard  palsson"
"230","collin h martin","karl j fisher"
"231","daniel j dwyer","vladimir n noskov"
"232","david magnus","jay d keasling"
"233","david nielsen","a spence"
"234","diana m bowman","kristala jones prather"
"235","eric m paradisea","paul rabinow"
"236","jay d keasling","gina kwon a"
"237","jennifer byers corbin","william h mather"
"238","nediljko budisa","s panke"
"239","paul martin","brigitte hantsche tangen"
"240","peter holtz","alexander kelle"
"241","petra neumann staubitz","eriko takano"
"242","rachel a eachus","dae kyun robb"
"243","raymond a zilinskas","daniel mcgee"
"244","ron weiss","ewald strasser"
"245","ron weiss","hugo g menzella"
"246","taizo hanai","florentine eichler"
"247","michael j selgelid","dae kyun robb"
"248","alexander powell","jane calvert"
"249","stefan eriksson","anna t ho glund"
"250","gaymon bennett","drew endy"
"251","anna labno","jacobson joseph"
"252","barbara a fechta","laurie j heyer"
"253","c prowse","g kadoda"
"254","chris j paddonb","sang yup lee"
"255","collin h martin","karyn l newman"
"256","daniel j dwyer","ray yuan chuang"
"257","david nielsen","j a van hilten"
"258","jennifer byers corbin","lev s tsimring"
"259","peter holtz","anna deplazes"
"260","rachel a eachus","jay d keasling"
"261","raymond a zilinskas","ethics of genomics group"
"262","ron weiss","wolfgang wagner"
"263","taizo hanai","allen lin"
"264","michael j selgelid","jay d keasling"
"265","gaymon bennett","paul rabinow"
"266","anna labno","keasling jay"
"267","barbara a fechta","malcolm campbell"
"268","collin h martin","john m ndungu"
"269","daniel j dwyer","mikkel a algire"
"270","david nielsen","k lowe"
"271","jennifer byers corbin","jeff hasty"
"272","peter holtz","nikola biller andorno"
"273","taizo hanai","martin oesterreicher"
"274","anna labno","modrich paul"
"275","collin h martin","kimberly a ho"
"276","daniel j dwyer","gwynedd a benders"
"277","anna labno","smolke christina"
"278","collin h martin","rachel a eachus"
"279","daniel j dwyer","michael g montague"
"280","anna labno","weiss ron"
"281","collin h martin","timothy s ham"
"282","daniel j dwyer","li ma"
"283","collin h martin","james kirbya"
"284","daniel j dwyer","monzia m moodie"
"285","collin h martin","michelle c y chang"
"286","daniel j dwyer","chuck merryman"
"287","collin h martin","sydnor t withers"
"288","daniel j dwyer","sanjay vashee"
"289","collin h martin","yoichiro shiba"
"290","daniel j dwyer","radha krishnakumar"
"291","collin h martin","richmond sarpong"
"292","daniel j dwyer","nacyra assad garcia"
"293","collin h martin","jay d keasling"
"294","collins jim","endy drew"
"295","kyri bye nagel","scott tonid"
"296","g middendorf","m castro sitiriche"
"297","hyun uk kim","bernhard  palsson"
"298","mario ouellet","karl j fisher"
"299","carole lartigue","vladimir n noskov"
"300","jack d newman","jay d keasling"
"301","e townsend","a spence"
"302","kevin solomon","kristala jones prather"
"303","anthony stavrianakis","paul rabinow"
"304","farnaz nowroozi","gina kwon a"
"305","matthew r bennett","william h mather"
"306","f greve","s panke"
"307","uwe tangen","brigitte hantsche tangen"
"308","helge torgersen","alexander kelle"
"309","roel bovenberg","eriko takano"
"310","william trieu","dae kyun robb"
"311","arthur caplan","daniel mcgee"
"312","wolfgang kerbe","ewald strasser"
"313","hugo gramajo","hugo g menzella"
"314","rocco casagrande","florentine eichler"
"315","james kirbya","dae kyun robb"
"316","jonathan f davies","jane calvert"
"317","kathinka evers","anna t ho glund"
"318","jef boeke","drew endy"
"319","collins jim","jacobson joseph"
"320","kyri bye nagel","laurie j heyer"
"321","g middendorf","g kadoda"
"322","hyun uk kim","sang yup lee"
"323","mario ouellet","karyn l newman"
"324","carole lartigue","ray yuan chuang"
"325","e townsend","j a van hilten"
"326","matthew r bennett","lev s tsimring"
"327","helge torgersen","anna deplazes"
"328","william trieu","jay d keasling"
"329","arthur caplan","ethics of genomics group"
"330","wolfgang kerbe","wolfgang wagner"
"331","rocco casagrande","allen lin"
"332","james kirbya","jay d keasling"
"333","jef boeke","paul rabinow"
"334","collins jim","keasling jay"
"335","kyri bye nagel","malcolm campbell"
"336","mario ouellet","john m ndungu"
"337","carole lartigue","mikkel a algire"
"338","e townsend","k lowe"
"339","matthew r bennett","jeff hasty"
"340","helge torgersen","nikola biller andorno"
"341","rocco casagrande","martin oesterreicher"
"342","collins jim","modrich paul"
"343","mario ouellet","kimberly a ho"
"344","carole lartigue","gwynedd a benders"
"345","collins jim","smolke christina"
"346","mario ouellet","rachel a eachus"
"347","carole lartigue","michael g montague"
"348","collins jim","weiss ron"
"349","mario ouellet","timothy s ham"
"350","carole lartigue","li ma"
"351","mario ouellet","james kirbya"
"352","carole lartigue","monzia m moodie"
"353","mario ouellet","michelle c y chang"
"354","carole lartigue","chuck merryman"
"355","mario ouellet","sydnor t withers"
"356","carole lartigue","sanjay vashee"
"357","mario ouellet","yoichiro shiba"
"358","carole lartigue","radha krishnakumar"
"359","mario ouellet","richmond sarpong"
"360","carole lartigue","nacyra assad garcia"
"361","mario ouellet","jay d keasling"
"362","endy drew","jacobson joseph"
"363","scott tonid","laurie j heyer"
"364","m castro sitiriche","g kadoda"
"365","bernhard  palsson","sang yup lee"
"366","karl j fisher","karyn l newman"
"367","vladimir n noskov","ray yuan chuang"
"368","a spence","j a van hilten"
"369","william h mather","lev s tsimring"
"370","alexander kelle","anna deplazes"
"371","dae kyun robb","jay d keasling"
"372","daniel mcgee","ethics of genomics group"
"373","ewald strasser","wolfgang wagner"
"374","florentine eichler","allen lin"
"375","dae kyun robb","jay d keasling"
"376","drew endy","paul rabinow"
"377","endy drew","keasling jay"
"378","scott tonid","malcolm campbell"
"379","karl j fisher","john m ndungu"
"380","vladimir n noskov","mikkel a algire"
"381","a spence","k lowe"
"382","william h mather","jeff hasty"
"383","alexander kelle","nikola biller andorno"
"384","florentine eichler","martin oesterreicher"
"385","endy drew","modrich paul"
"386","karl j fisher","kimberly a ho"
"387","vladimir n noskov","gwynedd a benders"
"388","endy drew","smolke christina"
"389","karl j fisher","rachel a eachus"
"390","vladimir n noskov","michael g montague"
"391","endy drew","weiss ron"
"392","karl j fisher","timothy s ham"
"393","vladimir n noskov","li ma"
"394","karl j fisher","james kirbya"
"395","vladimir n noskov","monzia m moodie"
"396","karl j fisher","michelle c y chang"
"397","vladimir n noskov","chuck merryman"
"398","karl j fisher","sydnor t withers"
"399","vladimir n noskov","sanjay vashee"
"400","karl j fisher","yoichiro shiba"
"401","vladimir n noskov","radha krishnakumar"
"402","karl j fisher","richmond sarpong"
"403","vladimir n noskov","nacyra assad garcia"
"404","karl j fisher","jay d keasling"
"405","jacobson joseph","keasling jay"
"406","laurie j heyer","malcolm campbell"
"407","karyn l newman","john m ndungu"
"408","ray yuan chuang","mikkel a algire"
"409","j a van hilten","k lowe"
"410","lev s tsimring","jeff hasty"
"411","anna deplazes","nikola biller andorno"
"412","allen lin","martin oesterreicher"
"413","jacobson joseph","modrich paul"
"414","karyn l newman","kimberly a ho"
"415","ray yuan chuang","gwynedd a benders"
"416","jacobson joseph","smolke christina"
"417","karyn l newman","rachel a eachus"
"418","ray yuan chuang","michael g montague"
"419","jacobson joseph","weiss ron"
"420","karyn l newman","timothy s ham"
"421","ray yuan chuang","li ma"
"422","karyn l newman","james kirbya"
"423","ray yuan chuang","monzia m moodie"
"424","karyn l newman","michelle c y chang"
"425","ray yuan chuang","chuck merryman"
"426","karyn l newman","sydnor t withers"
"427","ray yuan chuang","sanjay vashee"
"428","karyn l newman","yoichiro shiba"
"429","ray yuan chuang","radha krishnakumar"
"430","karyn l newman","richmond sarpong"
"431","ray yuan chuang","nacyra assad garcia"
"432","karyn l newman","jay d keasling"
"433","keasling jay","modrich paul"
"434","john m ndungu","kimberly a ho"
"435","mikkel a algire","gwynedd a benders"
"436","keasling jay","smolke christina"
"437","john m ndungu","rachel a eachus"
"438","mikkel a algire","michael g montague"
"439","keasling jay","weiss ron"
"440","john m ndungu","timothy s ham"
"441","mikkel a algire","li ma"
"442","john m ndungu","james kirbya"
"443","mikkel a algire","monzia m moodie"
"444","john m ndungu","michelle c y chang"
"445","mikkel a algire","chuck merryman"
"446","john m ndungu","sydnor t withers"
"447","mikkel a algire","sanjay vashee"
"448","john m ndungu","yoichiro shiba"
"449","mikkel a algire","radha krishnakumar"
"450","john m ndungu","richmond sarpong"
"451","mikkel a algire","nacyra assad garcia"
"452","john m ndungu","jay d keasling"
"453","modrich paul","smolke christina"
"454","kimberly a ho","rachel a eachus"
"455","gwynedd a benders","michael g montague"
"456","modrich paul","weiss ron"
"457","kimberly a ho","timothy s ham"
"458","gwynedd a benders","li ma"
"459","kimberly a ho","james kirbya"
"460","gwynedd a benders","monzia m moodie"
"461","kimberly a ho","michelle c y chang"
"462","gwynedd a benders","chuck merryman"
"463","kimberly a ho","sydnor t withers"
"464","gwynedd a benders","sanjay vashee"
"465","kimberly a ho","yoichiro shiba"
"466","gwynedd a benders","radha krishnakumar"
"467","kimberly a ho","richmond sarpong"
"468","gwynedd a benders","nacyra assad garcia"
"469","kimberly a ho","jay d keasling"
"470","smolke christina","weiss ron"
"471","rachel a eachus","timothy s ham"
"472","michael g montague","li ma"
"473","rachel a eachus","james kirbya"
"474","michael g montague","monzia m moodie"
"475","rachel a eachus","michelle c y chang"
"476","michael g montague","chuck merryman"
"477","rachel a eachus","sydnor t withers"
"478","michael g montague","sanjay vashee"
"479","rachel a eachus","yoichiro shiba"
"480","michael g montague","radha krishnakumar"
"481","rachel a eachus","richmond sarpong"
"482","michael g montague","nacyra assad garcia"
"483","rachel a eachus","jay d keasling"
"484","timothy s ham","james kirbya"
"485","li ma","monzia m moodie"
"486","timothy s ham","michelle c y chang"
"487","li ma","chuck merryman"
"488","timothy s ham","sydnor t withers"
"489","li ma","sanjay vashee"
"490","timothy s ham","yoichiro shiba"
"491","li ma","radha krishnakumar"
"492","timothy s ham","richmond sarpong"
"493","li ma","nacyra assad garcia"
"494","timothy s ham","jay d keasling"
"495","james kirbya","michelle c y chang"
"496","monzia m moodie","chuck merryman"
"497","james kirbya","sydnor t withers"
"498","monzia m moodie","sanjay vashee"
"499","james kirbya","yoichiro shiba"
"500","monzia m moodie","radha krishnakumar"
"501","james kirbya","richmond sarpong"
"502","monzia m moodie","nacyra assad garcia"
"503","james kirbya","jay d keasling"
"504","michelle c y chang","sydnor t withers"
"505","chuck merryman","sanjay vashee"
"506","michelle c y chang","yoichiro shiba"
"507","chuck merryman","radha krishnakumar"
"508","michelle c y chang","richmond sarpong"
"509","chuck merryman","nacyra assad garcia"
"510","michelle c y chang","jay d keasling"
"511","sydnor t withers","yoichiro shiba"
"512","sanjay vashee","radha krishnakumar"
"513","sydnor t withers","richmond sarpong"
"514","sanjay vashee","nacyra assad garcia"
"515","sydnor t withers","jay d keasling"
"516","yoichiro shiba","richmond sarpong"
"517","radha krishnakumar","nacyra assad garcia"
"518","yoichiro shiba","jay d keasling"
"519","richmond sarpong","jay d keasling"
